id,day,date,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti
231,10,2020-03-05,ITA,5,Veneto,45.43490485,12.33845213,92,24,116,264,380,35,47,17,10
232,11,2020-03-06,ITA,13,Abruzzo,42.35122196,13.39843823,9,0,9,0,9,1,1,0,0
233,11,2020-03-06,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,2,3,2,2,0,0
234,11,2020-03-06,ITA,18,Calabria,38.90597598,16.59440194,2,0,2,2,4,2,2,0,0
235,11,2020-03-06,ITA,15,Campania,40.83956555,14.25084984,12,0,12,45,57,12,12,0,0
236,11,2020-03-06,ITA,8,Emilia-Romagna,44.49436681,11.3417208,397,53,450,366,816,158,172,17,37
237,11,2020-03-06,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,4,0,4,24,28,7,10,3,0
238,11,2020-03-06,ITA,12,Lazio,41.89277044,12.48366722,26,8,34,16,50,9,10,3,1
239,11,2020-03-06,ITA,7,Liguria,44.41149315,8.9326992,12,5,17,7,24,3,4,5,3
240,11,2020-03-06,ITA,3,Lombardia,45.46679409,9.190347404,1622,309,1931,77,2008,231,361,469,135
241,11,2020-03-06,ITA,11,Marche,43.61675973,13.5188753,73,20,93,62,155,35,35,0,4
242,11,2020-03-06,ITA,14,Molise,41.55774754,14.65916051,3,2,5,7,12,5,5,0,0
243,11,2020-03-06,ITA,21,P.A. Bolzano,46.49933453,11.35662422,4,0,4,0,4,3,3,0,0
244,11,2020-03-06,ITA,22,P.A. Trento,46.06893511,11.12123097,4,0,4,6,10,3,3,0,0
245,11,2020-03-06,ITA,1,Piemonte,45.0732745,7.680687483,57,30,87,52,139,33,35,0,4
246,11,2020-03-06,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,9,15,3,3,1,1
247,11,2020-03-06,ITA,20,Sardegna,39.21531192,9.110616306,2,0,2,3,5,3,3,0,0
248,11,2020-03-06,ITA,19,Sicilia,38.11569725,13.3623567,7,0,7,15,22,6,6,2,0
249,11,2020-03-06,ITA,9,Toscana,43.76923077,11.25588885,35,5,40,38,78,18,18,1,0
250,11,2020-03-06,ITA,10,Umbria,43.10675841,12.38824698,2,2,4,12,16,7,7,0,0
251,11,2020-03-06,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,7,7,5,5,0,0
252,11,2020-03-06,ITA,5,Veneto,45.43490485,12.33845213,117,27,144,310,454,74,81,22,12
253,12,2020-03-07,ITA,13,Abruzzo,42.35122196,13.39843823,11,0,11,0,11,2,2,0,0
